yyyymm,metro,city,custCnt,powerUsage,bill,unitCost
2022-01,강원특별자치도,강릉시,89110,30798882,3684701189,119.6
2022-01,강원특별자치도,고성군,15906,4042681,535918413,132.6
2022-01,강원특별자치도,동해시,33208,12716279,1438307932,113.1
2022-01,강원특별자치도,삼척시,34410,8946503,1079264713,120.6
2022-01,강원특별자치도,속초시,26809,12685484,1451797230,114.4
2022-01,강원특별자치도,양구군,11237,2854678,373655354,130.9
2022-01,강원특별자치도,양양군,16359,4438259,556494706,125.4
2022-01,강원특별자치도,영월군,22603,5465501,708103132,129.6
2022-01,강원특별자치도,원주시,103022,53387719,6198898907,116.1
2022-01,강원특별자치도,인제군,17869,4665203,620407761,133.0
2022-01,강원특별자치도,정선군,20711,5263421,667495485,126.8
2022-01,강원특별자치도,철원군,21055,5815779,803226292,138.1
2022-01,강원특별자치도,춘천시,92874,41878846,5018093133,119.8
2022-01,강원특별자치도,태백시,17454,5883964,695580589,118.2
2022-01,강원특별자치도,평창군,27153,6876127,886209419,128.9
2022-01,강원특별자치도,홍천군,39072,9719236,1268544630,130.5
2022-01,강원특별자치도,화천군,12646,3224888,419710870,130.1
2022-01,강원특별자치도,횡성군,27475,6820884,888500082,130.3
2022-01,경기도,가평군,35500,9094009,1274962379,140.2
2022-01,경기도,고양시,160169,140635840,17083134248,121.5
2022-01,경기도,과천시,11311,10589884,1367992742,129.2
2022-01,경기도,광명시,42664,33033005,3823305410,115.7
2022-01,경기도,광주시,132830,53866986,7015230449,130.2
2022-01,경기도,구리시,35912,25703956,3008293605,117.0
2022-01,경기도,군포시,50906,35384885,4089426277,115.6
2022-01,경기도,김포시,65816,70685938,8885561071,125.7
2022-01,경기도,남양주시,115401,102346193,12596171348,123.1
2022-01,경기도,동두천시,30569,13046005,1520252642,116.5
2022-01,경기도,부천시,229752,109298784,13080396552,119.7
2022-01,경기도,성남시,213512,130731725,15944740758,122.0
2022-01,경기도,수원시,289934,165392632,19575760166,118.4
2022-01,경기도,시흥시,114944,74199826,8526226708,114.9
2022-01,경기도,안산시,234504,89243475,10369190168,116.2
2022-01,경기도,안성시,68969,27400263,3232253149,118.0
2022-01,경기도,안양시,101333,73168120,8514985790,116.4
2022-01,경기도,양주시,46191,33248929,4007699223,120.5
2022-01,경기도,양평군,63642,18386157,2704559512,147.1
2022-01,경기도,여주시,50480,15610492,2031355206,130.1
2022-01,경기도,연천군,22934,5898270,788664675,133.7
2022-01,경기도,오산시,56974,32554630,3689397591,113.3
2022-01,경기도,용인시,164077,151434969,19094380592,126.1
2022-01,경기도,의왕시,23291,21938205,2642650675,120.5
2022-01,경기도,의정부시,89190,63305607,7202609344,113.8
2022-01,경기도,이천시,78480,30519952,3805478832,124.7
2022-01,경기도,파주시,101784,67895863,8445008498,124.4
2022-01,경기도,평택시,180391,86412436,10286831680,119.0
2022-01,경기도,포천시,63264,20179136,2611514644,129.4
2022-01,경기도,하남시,31087,47082944,5724148807,121.6
2022-01,경기도,화성시,149299,131742590,15960523390,121.1
2022-01,경상남도,거제시,84604,33797801,4017647390,118.9
2022-01,경상남도,거창군,31945,7859923,975356311,124.1
2022-01,경상남도,고성군,31410,6715950,907830547,135.2
2022-01,경상남도,김해시,135049,71349475,8192546636,114.8
2022-01,경상남도,남해군,28365,5156665,721267902,139.9
2022-01,경상남도,밀양시,57063,14321078,1819452172,127.0
2022-01,경상남도,사천시,50328,14622890,1738121890,118.9
2022-01,경상남도,산청군,22708,4118151,539989612,131.1
2022-01,경상남도,양산시,82696,48127943,5357158056,111.3
2022-01,경상남도,의령군,18366,3324119,429598540,129.2
2022-01,경상남도,진주시,128869,48999312,5831284628,119.0
2022-01,경상남도,창녕군,35612,7790598,997132685,128.0
2022-01,경상남도,창원시,311727,139096891,16249044046,116.8
2022-01,경상남도,통영시,55585,17094100,2043331888,119.5
2022-01,경상남도,하동군,27871,5182034,696534001,134.4
2022-01,경상남도,함안군,29866,8307923,1034220326,124.5
2022-01,경상남도,함양군,23939,4896236,601331730,122.8
2022-01,경상남도,합천군,30768,5305544,687059622,129.5
2022-01,경상북도,경산시,103961,37461861,4174271472,111.4
2022-01,경상북도,경주시,129645,36464486,4377214349,120.0
2022-01,경상북도,고령군,15464,3702676,471390119,127.3
2022-01,경상북도,구미시,144754,54567265,6104336506,111.9
2022-01,경상북도,김천시,56313,18441569,2098890975,113.8
2022-01,경상북도,문경시,37901,9082302,1156273641,127.3
2022-01,경상북도,봉화군,20415,3811263,474205085,124.4
2022-01,경상북도,상주시,52271,12568024,1540477615,122.6
2022-01,경상북도,성주군,24559,4869224,651942645,133.9
2022-01,경상북도,안동시,71659,21913000,2544106522,116.1
2022-01,경상북도,영덕군,23906,4547830,600626891,132.1
2022-01,경상북도,영양군,11530,2079117,264577990,127.3
2022-01,경상북도,영주시,50314,14025167,1679090453,119.7
2022-01,경상북도,영천시,44610,12953150,1520474989,117.4
2022-01,경상북도,예천군,27187,8126641,956536788,117.7
2022-01,경상북도,울릉군,4986,910100,123823795,136.1
2022-01,경상북도,울진군,33410,7583371,969080291,127.8
2022-01,경상북도,의성군,33059,6389509,802039282,125.5
2022-01,경상북도,청도군,26470,5309548,697947709,131.5
2022-01,경상북도,청송군,16837,3195036,407281018,127.5
2022-01,경상북도,칠곡군,51196,15021384,1735486841,115.5
2022-01,경상북도,포항시,187642,66901198,7620106932,113.9
2022-01,광주광역시,광산구,87003,54307677,6108399029,112.5
2022-01,광주광역시,남구,56576,29860567,3524666302,118.0
2022-01,광주광역시,동구,42421,15798183,1867922024,118.2
2022-01,광주광역시,북구,126185,57965336,6548504168,113.0
2022-01,광주광역시,서구,76702,39825334,4503990390,113.1
2022-01,대구광역시,남구,75357,19538782,2251283230,115.2
2022-01,대구광역시,달서구,124972,72131297,7959301858,110.3
2022-01,대구광역시,달성군,45417,33290245,3706638467,111.3
2022-01,대구광역시,동구,103460,46341713,5255181616,113.4
2022-01,대구광역시,북구,101875,56747720,6242510232,110.0
2022-01,대구광역시,서구,80705,21115757,2439483269,115.5
2022-01,대구광역시,수성구,91952,57941216,6977235247,120.4
2022-01,대구광역시,중구,28480,11925642,1411240323,118.3
2022-01,대전광역시,대덕구,60182,22565519,2483954928,110.1
2022-01,대전광역시,동구,90779,29878641,3293073904,110.2
