baseDate,baseTime,category,fcstDate,fcstTime,fcstValue,nx,ny
20250630,0500,TMP,20250630,0600,24,55,124
20250630,0500,UUU,20250630,0600,0.4,55,124
20250630,0500,VVV,20250630,0600,2,55,124
20250630,0500,VEC,20250630,0600,191,55,124
20250630,0500,WSD,20250630,0600,2,55,124
20250630,0500,SKY,20250630,0600,4,55,124
20250630,0500,PTY,20250630,0600,0,55,124
20250630,0500,POP,20250630,0600,30,55,124
20250630,0500,WAV,20250630,0600,-999,55,124
20250630,0500,PCP,20250630,0600,강수없음,55,124
20250630,0500,REH,20250630,0600,95,55,124
20250630,0500,SNO,20250630,0600,적설없음,55,124
20250630,0500,TMP,20250630,0700,24,55,124
20250630,0500,UUU,20250630,0700,0.1,55,124
20250630,0500,VVV,20250630,0700,2,55,124
20250630,0500,VEC,20250630,0700,183,55,124
20250630,0500,WSD,20250630,0700,2,55,124
20250630,0500,SKY,20250630,0700,4,55,124
20250630,0500,PTY,20250630,0700,0,55,124
20250630,0500,POP,20250630,0700,30,55,124
20250630,0500,WAV,20250630,0700,-999,55,124
20250630,0500,PCP,20250630,0700,강수없음,55,124
20250630,0500,REH,20250630,0700,90,55,124
20250630,0500,SNO,20250630,0700,적설없음,55,124
20250630,0500,TMP,20250630,0800,25,55,124
20250630,0500,UUU,20250630,0800,0.2,55,124
20250630,0500,VVV,20250630,0800,2.1,55,124
20250630,0500,VEC,20250630,0800,185,55,124
20250630,0500,WSD,20250630,0800,2.1,55,124
20250630,0500,SKY,20250630,0800,4,55,124
20250630,0500,PTY,20250630,0800,0,55,124
20250630,0500,POP,20250630,0800,30,55,124
20250630,0500,WAV,20250630,0800,-999,55,124
20250630,0500,PCP,20250630,0800,강수없음,55,124
20250630,0500,REH,20250630,0800,90,55,124
20250630,0500,SNO,20250630,0800,적설없음,55,124
20250630,0500,TMP,20250630,0900,26,55,124
20250630,0500,UUU,20250630,0900,0.3,55,124
20250630,0500,VVV,20250630,0900,2.1,55,124
20250630,0500,VEC,20250630,0900,188,55,124
20250630,0500,WSD,20250630,0900,2.1,55,124
20250630,0500,SKY,20250630,0900,4,55,124
20250630,0500,PTY,20250630,0900,0,55,124
20250630,0500,POP,20250630,0900,30,55,124
20250630,0500,WAV,20250630,0900,-999,55,124
20250630,0500,PCP,20250630,0900,강수없음,55,124
20250630,0500,REH,20250630,0900,90,55,124
20250630,0500,SNO,20250630,0900,적설없음,55,124
20250630,0500,TMP,20250630,1000,26,55,124
20250630,0500,UUU,20250630,1000,0.3,55,124
20250630,0500,VVV,20250630,1000,2.4,55,124
20250630,0500,VEC,20250630,1000,187,55,124
20250630,0500,WSD,20250630,1000,2.4,55,124
20250630,0500,SKY,20250630,1000,4,55,124
20250630,0500,PTY,20250630,1000,0,55,124
20250630,0500,POP,20250630,1000,30,55,124
20250630,0500,WAV,20250630,1000,-999,55,124
20250630,0500,PCP,20250630,1000,강수없음,55,124
20250630,0500,REH,20250630,1000,85,55,124
20250630,0500,SNO,20250630,1000,적설없음,55,124
20250630,0500,TMP,20250630,1100,27,55,124
20250630,0500,UUU,20250630,1100,0.4,55,124
20250630,0500,VVV,20250630,1100,2.6,55,124
20250630,0500,VEC,20250630,1100,189,55,124
20250630,0500,WSD,20250630,1100,2.6,55,124
20250630,0500,SKY,20250630,1100,4,55,124
20250630,0500,PTY,20250630,1100,0,55,124
20250630,0500,POP,20250630,1100,30,55,124
20250630,0500,WAV,20250630,1100,-999,55,124
20250630,0500,PCP,20250630,1100,강수없음,55,124
20250630,0500,REH,20250630,1100,85,55,124
20250630,0500,SNO,20250630,1100,적설없음,55,124
20250630,0500,TMP,20250630,1200,27,55,124
20250630,0500,UUU,20250630,1200,1,55,124
20250630,0500,VVV,20250630,1200,2.7,55,124
20250630,0500,VEC,20250630,1200,200,55,124
20250630,0500,WSD,20250630,1200,2.9,55,124
20250630,0500,SKY,20250630,1200,3,55,124
20250630,0500,PTY,20250630,1200,0,55,124
20250630,0500,POP,20250630,1200,20,55,124
20250630,0500,WAV,20250630,1200,-999,55,124
20250630,0500,PCP,20250630,1200,강수없음,55,124
20250630,0500,REH,20250630,1200,85,55,124
20250630,0500,SNO,20250630,1200,적설없음,55,124
20250630,0500,TMP,20250630,1300,28,55,124
20250630,0500,UUU,20250630,1300,1.6,55,124
20250630,0500,VVV,20250630,1300,2.6,55,124
20250630,0500,VEC,20250630,1300,212,55,124
20250630,0500,WSD,20250630,1300,3.1,55,124
20250630,0500,SKY,20250630,1300,3,55,124
20250630,0500,PTY,20250630,1300,4,55,124
20250630,0500,POP,20250630,1300,60,55,124
20250630,0500,WAV,20250630,1300,-999,55,124
20250630,0500,PCP,20250630,1300,2.0mm,55,124
20250630,0500,REH,20250630,1300,80,55,124
20250630,0500,SNO,20250630,1300,적설없음,55,124
20250630,0500,TMP,20250630,1400,28,55,124
20250630,0500,UUU,20250630,1400,2.8,55,124
20250630,0500,VVV,20250630,1400,2.8,55,124
20250630,0500,VEC,20250630,1400,225,55,124
20250630,0500,WSD,20250630,1400,4,55,124
20250630,0500,SKY,20250630,1400,3,55,124
20250630,0500,PTY,20250630,1400,4,55,124
20250630,0500,POP,20250630,1400,60,55,124
20250630,0500,WAV,20250630,1400,-999,55,124
20250630,0500,PCP,20250630,1400,2.0mm,55,124
20250630,0500,REH,20250630,1400,80,55,124
20250630,0500,SNO,20250630,1400,적설없음,55,124
20250630,0500,TMP,20250630,1500,27,55,124
20250630,0500,UUU,20250630,1500,2.2,55,124
20250630,0500,VVV,20250630,1500,2.7,55,124
20250630,0500,VEC,20250630,1500,219,55,124
20250630,0500,WSD,20250630,1500,3.5,55,124
20250630,0500,SKY,20250630,1500,4,55,124
20250630,0500,PTY,20250630,1500,4,55,124
20250630,0500,POP,20250630,1500,60,55,124
20250630,0500,WAV,20250630,1500,-999,55,124
20250630,0500,PCP,20250630,1500,2.0mm,55,124
20250630,0500,REH,20250630,1500,85,55,124
20250630,0500,SNO,20250630,1500,적설없음,55,124
